Kí hiệu,Tên tiếng Việt,Tên tiếng Anh,Chu kỳ,Nhóm,Cấu hình electron,Loại nguyên tố,Màu sắc,Màu ngọn lửa,Thuộc tính,Ứng dụng,Hợp chất,Nguyên tử khối,Cách điều chế,Trạng thái vật lý,Môi trường/ pH,Dạng thù hình,Loại phản ứng,Quặng,Tính tan,Màu chất chỉ thị,Tính chất hóa học,Loại nguyên tố,Loại hợp chất,Hóa trị
Ac,Actini,Actinium,1,IA,ns1,Kim loại kiềm,Bạc,Cam,Có 1 dạng thù hình,Bom cháy,Ag2Cl,1,Chưng cất,Dung dịch,Axit mạnh,Bát diện đều,Phản ứng cháy,Boxit,Tan tốt trong nước,Quỳ tím hóa đỏ,Tính axit,Halogen,Axit,Hóa trị I
Ag,Bạc,Silver (Argentum),2,IIA,ns2,Kim loại kiềm thổ,Bạc ánh kim,Không màu,Có mùi,Bom nguyên tử,AgCl,12367,Hóa hơi,Huyền phù,Axit yếu,Chóp tam giác,Phản ứng nhiệt nhôm,Hematit,Không tan trong nước,Quỳ tím hóa xanh,Tính bazơ,Khí hiếm,Axit mạnh,Hóa trị II
Al,Nhôm,Alluminium,3,IIIA,ns2 np1,Kim loại chuyển tiếp,Không màu,Lam nhạt,Có điểm nóng chảy cao nhất,Bóng cười,AgCl2,132,Hóa lỏng không khí,Keo,Bazo mạnh,Gấp khúc,Phản ứng oxi hóa - khử,Manhetit,Ít tan (kết tủa),Quỳ tím không đổi màu,Tính lưỡng tính,Kim loại,Axit yếu,Hóa trị III
Am,Americi,Americium,4,IVA,ns2 np2,Boron,Lam,Lục,Cứng,Bóng đèn,AgCl3,1325,Khử,Nhũ tương,Bazo yếu,Lưỡng chóp tam giác,Phản ứng phân hủy,Pirit,Tan vô hạn trong nước,Phenolphthalein hóa hồng,Trung tính,Kim loại chuyển tiếp,Bazơ,Hóa trị IV
Ar,Argon,Argon,5,VA,ns2 np3,Carbon,Lục nhạt,Lục nhạt,Cứng và giòn,Cao su,Au2Cl3,1329,Kết tủa,Plasma,Chất điện li mạnh,Tam giác phẳng,Phản ứng thế,Siderit,Tan trong axit,Phenolphthalein không màu,Tính oxi hóa mạnh,Kim loại kiềm,Bazơ mạnh,Hóa trị V
As,Arsen,Arsenic,6,VIA,ns2 np4,Nitrogen,Trong suốt,Lục vàng,Dẫn nhiệt kém,Chất bảo vệ,Au3Cl,133,Luyện kim,Rắn,Chất điện li yếu,Tứ diện đều,Phản ứng thủy phân,Dolomit,Tan trong kiềm,Methyl da cam hóa đỏ,Tính khử mạnh,Kim loại kiềm thổ,Bazơ yếu,Hóa trị VI
At,Astatin,Astatine,7,VIIA,ns2 np5,Oxygen,Trắng,Trắng,Dẫn điện kém,Chất phát quang,AuCl,14,Nghiền nát,Tinh thể,Lưỡng tính,Vuông phẳng,Phản ứng trao đổi,Canxit,Không tan trong axit,Methyl da cam hóa vàng,Tính khử yếu,Phi kim,Hiđroxit,Hóa trị VII
Au,Vàng,Gold (Aurum),,VIIIA,ns2 np6,Halogen,Trắng bóng,Trắng lấp lánh,Dẫn điện tốt,Chất truyền nhiệt,AuCl2,15,Nhiệt nhôm,Vô định hình,Trung tính,Đường thẳng,Phản ứng trung hòa,Apatit,,,Tính oxi hóa yếu,Á kim,Muối,Hóa trị VIII
B,Bor,Boron,,IB,(n-1) d1 ns2,Khí hiếm,Trắng bạc,Trắng sáng,Dẫn điện và dẫn nhiệt tốt,Chất tạo màu,Ba(OH)2,16,Nung chảy,Rắn,Độ pH < 7,,Phản ứng hóa hợp,Photphorit,,,Tính kim loại,,Muối axit,Đa hóa trị
Ba,Bari,Barium,,IIB,(n-1) d2 ns2,Họ Actini,Trắng xám,Tím,Dẫn điện và nhiệt tốt,Chất tản nhiệt,BaCO3,17,Nung kim loại,Lỏng,Độ pH = 7,,Phản ứng điện phân,Barite,,,Tính phi kim,,Muối bazơ,Không có hóa trị
BaS,Beryli,Beryllium,,IIIB,(n-1) d3 ns2,Họ Lanthan,Vàng,Tím hồng,Dễ bay hơi,Chất tẩy rửa,BaCl2,18,Nung nóng,Hơi,Độ pH > 7,,Phản ứng tỏa nhiệt,Fluorite,,,Tính trơ,,Muối trung hòa,
Be,Bismuth,Bismuth,,IVB,(n-1) d5 ns1,,Vàng nhạt,Vàng,Dễ bị gỉ,Chất xúc tác,BaSO4,183,Nung quặng,Khí,,,Phản ứng thu nhiệt,Galen,,,Tính khử,,Oxit,
Bh,Berkeli,Berkelium,,VB,(n-1) d5 ns2,,Xanh,Vàng kim,Dễ bị oxy hóa,Chất ổn định thần kinh,Cu2S,18385,Thủy phân,Tinh thể,,,Phản ứng axit-bazơ,Sphalerit,,,Tính oxi hóa,,Oxit axit,
